algorithm,evaluations_per_dimension,fraction_problem_seed_pairs_solved,target_residual,problem_seed_pairs
BasinGraph,2.442152430351287,0.24,0.001,1500
BasinGraph,2.508692264372099,0.24,0.001,1500
BasinGraph,2.577045068564834,0.24,0.001,1500
BasinGraph,2.6472602398192295,0.24,0.001,1500
BasinGraph,2.719388520911876,0.24,0.001,1500
BasinGraph,2.7934820371767675,0.24,0.001,1500
BasinGraph,2.8695943341750034,0.24,0.001,1500
BasinGraph,2.947780416390847,0.24,0.001,1500
BasinGraph,3.028096786982109,0.24,0.001,1500
BasinGraph,3.1106014886135958,0.24,0.001,1500
BasinGraph,3.1953541454031082,0.26,0.001,1500
BasinGraph,3.2824160060103327,0.26,0.001,1500
BasinGraph,3.37184998789973,0.26,0.001,1500
BasinGraph,3.463720722809446,0.26266666666666666,0.001,1500
BasinGraph,3.558094603459081,0.26266666666666666,0.001,1500
BasinGraph,3.6550398315300656,0.26266666666666666,0.001,1500
BasinGraph,3.7546264669533427,0.26266666666666666,0.001,1500
BasinGraph,3.8569264785399606,0.26266666666666666,0.001,1500
BasinGraph,3.9620137959911523,0.26266666666666666,0.001,1500
BasinGraph,4.069964363325515,0.26266666666666666,0.001,1500
BasinGraph,4.180856193761892,0.26266666666666666,0.001,1500
BasinGraph,4.29476942609759,0.26266666666666666,0.001,1500
BasinGraph,4.411786382622735,0.26266666666666666,0.001,1500
BasinGraph,4.5319916286125475,0.26266666666666666,0.001,1500
BasinGraph,4.655472033440598,0.26266666666666666,0.001,1500
BasinGraph,4.782316833357166,0.26266666666666666,0.001,1500
BasinGraph,4.912617695978076,0.26266666666666666,0.001,1500
BasinGraph,5.0464687865306255,0.2826666666666667,0.001,1500
BasinGraph,5.183966835904496,0.2826666666666667,0.001,1500
BasinGraph,5.325211210556759,0.2826666666666667,0.001,1500
BasinGraph,5.4703039843216,0.2826666666666667,0.001,1500
BasinGraph,5.6193500121765405,0.2826666666666667,0.001,1500
BasinGraph,5.77245700601856,0.2826666666666667,0.001,1500
BasinGraph,5.929735612504848,0.2826666666666667,0.001,1500
BasinGraph,6.091299493014393,0.2826666666666667,0.001,1500
BasinGraph,6.257265405788284,0.2826666666666667,0.001,1500
BasinGraph,6.42775329030802,0.2826666666666667,0.001,1500
BasinGraph,6.602886353972807,0.2826666666666667,0.001,1500
BasinGraph,6.782791161138521,0.2826666666666667,0.001,1500
BasinGraph,6.967597724582666,0.2826666666666667,0.001,1500
BasinGraph,7.157439599461386,0.2826666666666667,0.001,1500
BasinGraph,7.352453979826516,0.2826666666666667,0.001,1500
BasinGraph,7.55278179777232,0.2833333333333333,0.001,1500
BasinGraph,7.7585678252836665,0.2833333333333333,0.001,1500
BasinGraph,7.9699607788591855,0.2833333333333333,0.001,1500
BasinGraph,8.187113426984999,0.2833333333333333,0.001,1500
BasinGraph,8.410182700536762,0.2833333333333333,0.001,1500
BasinGraph,8.639329806189757,0.284,0.001,1500
BasinGraph,8.874720342918963,0.284,0.001,1500
BasinGraph,9.116524421673374,0.284,0.001,1500
BasinGraph,9.364916788311017,0.284,0.001,1500
BasinGraph,9.62007694988344,0.284,0.001,1500
BasinGraph,9.88218930436109,0.2846666666666667,0.001,1500
BasinGraph,10.151443273893141,0.2846666666666667,0.001,1500
BasinGraph,10.428033441698254,0.2846666666666667,0.001,1500
BasinGraph,10.712159692685082,0.2853333333333333,0.001,1500
BasinGraph,11.00402735790415,0.30533333333333335,0.001,1500
BasinGraph,11.303847362935564,0.30533333333333335,0.001,1500
BasinGraph,11.611836380319764,0.30533333333333335,0.001,1500
BasinGraph,11.928216986141395,0.30533333333333335,0.001,1500
BasinGraph,12.253217820879584,0.30533333333333335,0.001,1500
BasinGraph,12.587073754640814,0.306,0.001,1500
BasinGraph,12.930026056893727,0.306,0.001,1500
BasinGraph,13.282322570828654,0.306,0.001,1500
BasinGraph,13.644217892467811,0.306,0.001,1500
BasinGraph,14.01597355465553,0.306,0.001,1500
BasinGraph,14.397858216061666,0.306,0.001,1500
BasinGraph,14.790147855334562,0.326,0.001,1500
BasinGraph,15.193125970544042,0.326,0.001,1500
BasinGraph,15.607083784058522,0.326,0.001,1500
BasinGraph,16.032320453004196,0.326,0.001,1500
BasinGraph,16.469143285458557,0.326,0.001,1500
BasinGraph,16.91786796253441,0.32666666666666666,0.001,1500
BasinGraph,17.378818766514787,0.3466666666666667,0.001,1500
BasinGraph,17.85232881520381,0.3466666666666667,0.001,1500
BasinGraph,18.338740302662742,0.34933333333333333,0.001,1500
BasinGraph,18.838404746505184,0.41533333333333333,0.001,1500
BasinGraph,19.351683241930232,0.444,0.001,1500
BasinGraph,19.87894672267707,0.5106666666666667,0.001,1500
BasinGraph,20.42057622908966,0.5246666666666666,0.001,1500
BasinGraph,20.976963183485264,0.5246666666666666,0.001,1500
BasinGraph,21.54850967302565,0.5246666666666666,0.001,1500
BasinGraph,22.13562874029563,0.5246666666666666,0.001,1500
BasinGraph,22.73874468179881,0.5253333333333333,0.001,1500
BasinGraph,23.358293354586152,0.5253333333333333,0.001,1500
BasinGraph,23.994722491239184,0.5253333333333333,0.001,1500
BasinGraph,24.648492023435356,0.5846666666666667,0.001,1500
BasinGraph,25.32007441432927,0.6046666666666667,0.001,1500
BasinGraph,26.009954999990217,0.6046666666666667,0.001,1500
BasinGraph,26.718632340142648,0.6046666666666667,0.001,1500
BasinGraph,27.446618578462928,0.6426666666666667,0.001,1500
BasinGraph,28.194439812693084,0.644,0.001,1500
BasinGraph,28.962636474838583,0.664,0.001,1500
BasinGraph,29.75176372172531,0.6893333333333334,0.001,1500
BasinGraph,30.562391836197783,0.7166666666666667,0.001,1500
BasinGraph,31.39510663924843,0.7233333333333334,0.001,1500
BasinGraph,32.250509913376064,0.7246666666666667,0.001,1500
BasinGraph,33.12921983747933,0.7246666666666667,0.001,1500
BasinGraph,34.03187143359931,0.7246666666666667,0.001,1500
BasinGraph,34.95911702583434,0.7246666666666667,0.001,1500
BasinGraph,35.911626711758636,0.7246666666666667,0.001,1500
BasinGraph,36.89008884668525,0.7246666666666667,0.001,1500
BasinGraph,37.89521054112361,0.7246666666666667,0.001,1500
BasinGraph,38.927718171790794,0.7246666666666667,0.001,1500
BasinGraph,39.98835790654612,0.7253333333333334,0.001,1500
BasinGraph,41.07789624362841,0.7453333333333333,0.001,1500
BasinGraph,42.19712056558526,0.7453333333333333,0.001,1500
BasinGraph,43.34683970829508,0.7646666666666667,0.001,1500
BasinGraph,44.52788454549299,0.7646666666666667,0.001,1500
BasinGraph,45.74110858922264,0.7646666666666667,0.001,1500
BasinGraph,46.98738860664848,0.7646666666666667,0.001,1500
BasinGraph,48.267625253673856,0.7646666666666667,0.001,1500
BasinGraph,49.58274372582272,0.7646666666666667,0.001,1500
BasinGraph,50.93369442685577,0.7653333333333333,0.001,1500
BasinGraph,52.32145365560394,0.7653333333333333,0.001,1500
BasinGraph,53.74702431151534,0.7653333333333333,0.001,1500
BasinGraph,55.21143661942618,0.7653333333333333,0.001,1500
BasinGraph,56.71574887407878,0.7653333333333333,0.001,1500
BasinGraph,58.261048204925395,0.7666666666666667,0.001,1500
BasinGraph,59.848451361769555,0.768,0.001,1500
BasinGraph,61.47910552181393,0.768,0.001,1500
BasinGraph,63.15418911869697,0.768,0.001,1500
BasinGraph,64.87491269411788,0.768,0.001,1500
BasinGraph,66.64251977266552,0.768,0.001,1500
BasinGraph,68.45828776048273,0.768,0.001,1500
BasinGraph,70.32352886841649,0.768,0.001,1500
BasinGraph,72.23959106032035,0.768,0.001,1500
BasinGraph,74.20785902719481,0.768,0.001,1500
BasinGraph,76.22975518786933,0.768,0.001,1500
BasinGraph,78.30674071694965,0.768,0.001,1500
BasinGraph,80.44031660077239,0.768,0.001,1500
BasinGraph,82.63202472213118,0.768,0.001,1500
BasinGraph,84.88344897455728,0.768,0.001,1500
BasinGraph,87.19621640696063,0.7686666666666667,0.001,1500
BasinGraph,89.57199839945778,0.7686666666666667,0.001,1500
BasinGraph,92.0125118712377,0.7686666666666667,0.001,1500
BasinGraph,94.51952052133637,0.7686666666666667,0.001,1500
BasinGraph,97.09483610321912,0.7686666666666667,0.001,1500
BasinGraph,99.74031973409012,0.7686666666666667,0.001,1500
BasinGraph,102.45788323987597,0.7686666666666667,0.001,1500
BasinGraph,105.24949053685556,0.7693333333333333,0.001,1500
