algorithm,performance_ratio_threshold,fraction_of_problems,target_residual
BIPOP-CMA-ES,103.24079689749414,0.36,0.001
BIPOP-CMA-ES,106.57242560785014,0.36,0.001
BIPOP-CMA-ES,110.01156753194759,0.36,0.001
BIPOP-CMA-ES,113.56169217138275,0.36,0.001
BIPOP-CMA-ES,117.22638099018796,0.36,0.001
BIPOP-CMA-ES,121.00933102791217,0.36,0.001
BIPOP-CMA-ES,124.914358629296,0.36,0.001
BIPOP-CMA-ES,128.9454032943064,0.36,0.001
BIPOP-CMA-ES,133.10653165241368,0.36,0.001
BIPOP-CMA-ES,137.40194156511896,0.36,0.001
BIPOP-CMA-ES,141.8359663608742,0.36,0.001
BIPOP-CMA-ES,146.41307920666299,0.36,0.001
BIPOP-CMA-ES,151.13789762065554,0.36,0.001
BIPOP-CMA-ES,156.0151881304894,0.36,0.001
BIPOP-CMA-ES,161.04987108187373,0.36,0.001
BIPOP-CMA-ES,166.2470256023705,0.36,0.001
BIPOP-CMA-ES,171.6118947253597,0.36,0.001
BIPOP-CMA-ES,177.1498906793554,0.36,0.001
BIPOP-CMA-ES,182.86660034801247,0.36,0.001
BIPOP-CMA-ES,188.76779090632982,0.36,0.001
BIPOP-CMA-ES,194.8594156387351,0.36,0.001
BIPOP-CMA-ES,201.14761994492423,0.36,0.001
BIPOP-CMA-ES,207.63874753950958,0.36,0.001
BIPOP-CMA-ES,214.33934685173534,0.36,0.001
BIPOP-CMA-ES,221.256177631715,0.36,0.001
BIPOP-CMA-ES,228.39621776985308,0.36,0.001
BIPOP-CMA-ES,235.76667033633487,0.36,0.001
BIPOP-CMA-ES,243.37497084778374,0.36,0.001
BIPOP-CMA-ES,251.22879476841456,0.36,0.001
BIPOP-CMA-ES,259.33606525325644,0.36,0.001
BIPOP-CMA-ES,267.70496114124916,0.36,0.001
BIPOP-CMA-ES,276.3439252062831,0.36,0.001
BIPOP-CMA-ES,285.26167267450415,0.36,0.001
BIPOP-CMA-ES,294.46720001647344,0.36,0.001
BIPOP-CMA-ES,303.9697940230568,0.36,0.001
BIPOP-CMA-ES,313.7790411741976,0.36,0.001
BIPOP-CMA-ES,323.9048373100205,0.38,0.001
BIPOP-CMA-ES,334.35739761403227,0.38,0.001
BIPOP-CMA-ES,345.1472669184787,0.38,0.001
BIPOP-CMA-ES,356.28533034226473,0.38,0.001
BIPOP-CMA-ES,367.78282427216493,0.38,0.001
BIPOP-CMA-ES,379.6513476983991,0.38,0.001
BIPOP-CMA-ES,391.9028739160162,0.38,0.001
BIPOP-CMA-ES,404.5497626038868,0.38,0.001
BIPOP-CMA-ES,417.60477229348675,0.38,0.001
BIPOP-CMA-ES,431.0810732400602,0.38,0.001
BIPOP-CMA-ES,444.9922607091349,0.38,0.001
BIPOP-CMA-ES,459.35236869180346,0.38,0.001
BIPOP-CMA-ES,474.17588406260387,0.38,0.001
BIPOP-CMA-ES,489.4777611942768,0.38,0.001
BIPOP-CMA-ES,505.27343704415205,0.38,0.001
BIPOP-CMA-ES,521.5788467273803,0.38,0.001
BIPOP-CMA-ES,538.4104395927153,0.38,0.001
BIPOP-CMA-ES,555.7851958170738,0.38,0.001
BIPOP-CMA-ES,573.7206435356103,0.38,0.001
BIPOP-CMA-ES,592.2348765245805,0.38,0.001
BIPOP-CMA-ES,611.3465724548487,0.38,0.001
BIPOP-CMA-ES,631.0750117344355,0.38,0.001
